date,mt_fuji-G1,mt_fuji-G2,mt_fuji-D,sea_of_kyoto-E,kyoto_nara-A
2024/1/1,371,0,13,75,101
2024/1/2,314,0,29,80,55
2024/1/3,214,0,16,70,44
2024/1/4,186,0,0,49,40
2024/1/5,172,0,10,41,28
2024/1/6,151,0,13,46,49
2024/1/7,139,0,3,58,30
2024/1/8,147,0,15,40,41
2024/1/9,141,0,4,39,24
2024/1/10,89,0,0,11,31
2024/1/11,124,0,6,51,17
2024/1/12,162,0,10,75,54
2024/1/13,145,0,7,69,65
2024/1/14,200,0,7,39,85
2024/1/15,154,0,6,43,45
2024/1/16,226,0,0,56,64
2024/1/17,257,0,0,72,38
2024/1/18,201,0,1,44,66
2024/1/19,213,0,3,61,103
2024/1/20,177,0,7,80,108
2024/1/21,104,0,13,62,70
2024/1/22,172,0,7,46,109
2024/1/23,213,0,4,81,73
2024/1/24,290,0,10,82,116
2024/1/25,235,0,10,93,100
2024/1/26,241,0,13,97,86
2024/1/27,288,0,13,81,122
2024/1/28,199,0,10,98,112
2024/1/29,256,0,6,76,95
2024/1/30,237,0,13,76,119
2024/1/31,221,0,5,49,68
2024/2/1,248,0,13,71,74
2024/2/2,195,0,9,75,90
2024/2/3,294,0,9,71,122
2024/2/4,239,0,1,102,109
2024/2/5,184,0,11,76,112
2024/2/6,0,0,2,99,110
2024/2/7,303,0,1,70,119
2024/2/8,409,0,12,112,77
2024/2/9,361,0,17,107,105
2024/2/10,379,0,9,128,124
2024/2/11,371,0,15,137,146
2024/2/12,308,0,12,130,142
2024/2/13,278,0,20,95,136
2024/2/14,311,0,15,69,110
2024/2/15,268,0,11,68,94
2024/2/16,244,0,13,72,107
2024/2/17,309,0,15,67,134
2024/2/18,382,0,18,139,124
2024/2/19,243,0,4,127,83
2024/2/20,211,0,12,108,44
2024/2/21,175,0,19,47,84
2024/2/22,137,0,0,61,44
2024/2/23,189,0,6,97,98
2024/2/24,306,0,0,80,88
2024/2/25,190,0,9,81,64
2024/2/26,179,0,0,78,61
2024/2/27,270,17,2,83,55
2024/2/28,264,13,8,115,49
2024/2/29,153,4,5,83,35
2024/3/1,151,12,4,71,33
2024/3/2,250,6,2,111,58
2024/3/3,303,12,5,105,63
2024/3/4,429,10,18,74,69
2024/3/5,188,5,0,77,32
2024/3/6,146,4,9,99,46
2024/3/7,223,4,14,101,47
2024/3/8,226,6,6,94,46
2024/3/9,431,7,0,76,67
2024/3/10,391,10,2,108,92
2024/3/11,433,7,7,113,71
2024/3/12,143,3,5,73,42
2024/3/13,316,14,11,83,47
2024/3/14,327,9,18,91,76
2024/3/15,521,15,6,116,104
2024/3/16,492,18,17,169,90
2024/3/17,334,12,9,129,64
2024/3/18,418,6,23,123,81
2024/3/19,425,12,8,132,56
2024/3/20,344,9,5,135,43
2024/3/21,457,7,12,82,97
2024/3/22,550,12,22,99,91
2024/3/23,399,12,7,146,82
2024/3/24,408,12,45,131,64
2024/3/25,360,9,22,133,123
2024/3/26,259,11,10,107,62
2024/3/27,330,18,23,107,88
2024/3/28,317,10,11,100,89
2024/3/29,273,20,10,88,58
2024/3/30,359,9,17,143,58
2024/3/31,328,21,9,72,80
2024/4/1,320,10,12,89,87
2024/4/2,381,13,19,111,64
2024/4/3,417,13,5,97,45
2024/4/4,375,11,13,96,87
2024/4/5,389,12,15,132,61
2024/4/6,452,14,21,144,78
2024/4/7,376,12,17,153,86
2024/4/8,318,11,12,86,49
2024/4/9,311,11,4,95,57
2024/4/10,410,22,24,90,58
2024/4/11,498,13,14,87,76
2024/4/12,456,9,7,126,70
2024/4/13,348,12,21,135,117
2024/4/14,434,19,17,158,89
2024/4/15,319,13,13,118,66
2024/4/16,311,16,21,127,50
2024/4/17,296,14,28,140,79
2024/4/18,347,14,12,121,65
2024/4/19,352,17,12,117,67
2024/4/20,432,25,9,123,88
2024/4/21,359,17,26,122,82
2024/4/22,302,19,7,112,88
2024/4/23,276,12,0,101,63
2024/4/24,150,5,6,89,80
2024/4/25,367,23,10,114,72
2024/4/26,386,22,6,117,70
2024/4/27,236,10,12,146,96
2024/4/28,610,25,10,167,81
2024/4/29,530,22,13,148,112
2024/4/30,310,15,14,151,121
2024/5/1,259,11,16,116,85
2024/5/2,410,20,31,145,109
2024/5/3,725,33,25,196,128
2024/5/4,784,23,19,169,123
2024/5/5,534,9,33,171,59
2024/5/6,313,12,12,115,90
2024/5/7,109,4,13,75,56
2024/5/8,171,8,7,88,45
2024/5/9,140,10,2,107,54
2024/5/10,374,21,21,173,55
2024/5/11,595,11,5,191,94
2024/5/12,353,21,6,142,83
2024/5/13,198,9,17,106,58
2024/5/14,242,6,13,120,60
2024/5/15,374,20,8,158,78
2024/5/16,249,8,9,139,85
2024/5/17,339,9,9,160,86
2024/5/18,436,13,21,179,69
2024/5/19,383,19,25,155,64
2024/5/20,266,18,8,112,56
2024/5/21,292,17,45,132,60
2024/5/22,273,8,8,155,65
2024/5/23,337,14,23,126,64
2024/5/24,387,18,12,136,72
2024/5/25,326,11,9,225,61
2024/5/26,446,24,13,181,79
2024/5/27,287,7,12,129,99
2024/5/28,178,5,10,108,66
2024/5/29,275,15,5,154,75
2024/5/30,364,33,26,137,80
2024/5/31,172,8,22,139,63
2024/6/1,313,22,16,191,83
2024/6/2,179,2,20,145,87
2024/6/3,247,16,12,157,85
2024/6/4,205,25,6,155,99
2024/6/5,321,15,19,120,78
2024/6/6,263,16,5,117,88
2024/6/7,371,29,15,167,84
2024/6/8,450,21,21,207,86
2024/6/9,300,34,8,182,82
2024/6/10,262,20,16,144,92
2024/6/11,298,32,13,151,70
2024/6/12,180,30,10,162,76
2024/6/13,253,30,15,149,85
2024/6/14,360,22,18,153,111
2024/6/15,249,24,17,153,102
2024/6/16,271,26,15,185,73
2024/6/17,289,39,21,170,102
2024/6/18,148,24,7,136,59
2024/6/19,301,29,19,147,66
2024/6/20,223,32,17,147,106
2024/6/21,265,25,3,141,81
2024/6/22,254,22,14,128,74
2024/6/23,140,11,12,144,121
2024/6/24,290,17,25,145,74
2024/6/25,170,34,14,146,100
2024/6/26,263,25,24,177,75
2024/6/27,206,29,17,162,96
2024/6/28,144,23,9,124,126
2024/6/29,248,25,8,154,84
2024/6/30,190,16,18,137,142
2024/7/1,126,30,16,135,89
2024/7/2,171,31,18,118,88
2024/7/3,161,32,14,176,127
2024/7/4,290,32,5,156,111
2024/7/5,253,48,17,143,105
2024/7/6,184,19,21,153,140
2024/7/7,164,33,17,182,124
2024/7/8,167,39,6,137,147
2024/7/9,172,28,9,173,104
2024/7/10,190,38,25,152,75
2024/7/11,162,17,2,127,95
2024/7/12,96,29,9,149,101
2024/7/13,142,15,8,238,138
2024/7/14,144,34,6,165,144
2024/7/15,154,26,26,158,131
2024/7/16,115,29,15,111,82
2024/7/17,95,20,15,118,136
2024/7/18,139,17,11,109,120
2024/7/19,237,15,7,156,99
2024/7/20,161,17,12,177,151
2024/7/21,165,44,14,2,155
2024/7/22,189,39,6,246,120
2024/7/23,159,14,4,166,108
2024/7/24,202,36,9,179,92
2024/7/25,183,47,10,133,100
2024/7/26,163,31,16,193,107
2024/7/27,212,33,0,185,154
2024/7/28,202,36,7,192,175
2024/7/29,215,29,16,183,176
2024/7/30,183,34,16,181,123
2024/7/31,133,35,8,165,103
2024/8/1,176,29,9,161,131
2024/8/2,162,35,24,121,105
2024/8/3,128,37,8,165,159
2024/8/4,162,24,17,179,163
2024/8/5,131,12,24,156,129
2024/8/6,135,30,48,162,106
2024/8/7,109,22,5,138,100
2024/8/8,97,24,31,100,132
2024/8/9,140,28,29,120,85
2024/8/10,156,28,58,191,140
2024/8/11,255,39,76,206,172
2024/8/12,280,24,70,160,159
2024/8/13,194,30,51,201,130
2024/8/14,169,27,61,191,103
2024/8/15,138,21,48,156,144
2024/8/16,0,0,10,235,128
2024/8/17,170,9,71,133,93
2024/8/18,125,17,38,144,135
2024/8/19,99,34,26,142,102
2024/8/20,82,20,29,145,51
2024/8/21,79,15,30,129,133
2024/8/22,72,24,22,141,127
2024/8/23,113,25,23,93,136
2024/8/24,123,17,19,51,180
2024/8/25,156,14,77,229,141
2024/8/26,155,16,82,199,136
2024/8/27,107,14,32,131,162
2024/8/28,94,7,40,95,115
2024/8/29,67,16,24,118,89
2024/8/30,47,2,43,111,77
2024/8/31,62,11,22,53,61
2024/9/1,87,12,22,103,87
2024/9/2,104,18,17,90,83
2024/9/3,82,16,26,147,75
2024/9/4,101,16,39,140,70
2024/9/5,153,22,40,123,101
2024/9/6,212,35,46,127,69
2024/9/7,181,6,54,121,77
2024/9/8,133,8,36,125,80
2024/9/9,100,30,20,142,63
2024/9/10,148,17,45,130,65
2024/9/11,159,17,58,94,57
2024/9/12,127,29,38,110,75
2024/9/13,150,20,50,134,63
2024/9/14,223,5,69,150,114
2024/9/15,325,14,75,201,105
2024/9/16,243,18,39,187,102
2024/9/17,284,33,80,172,79
2024/9/18,214,7,83,178,79
2024/9/19,126,25,39,154,61
2024/9/20,284,27,70,172,61
2024/9/21,179,25,57,168,122
2024/9/22,155,26,50,154,77
2024/9/23,220,22,72,113,83
2024/9/24,177,13,53,126,66
2024/9/25,158,13,54,134,42
2024/9/26,264,16,70,121,68
2024/9/27,154,11,40,157,105
2024/9/28,138,11,56,235,101
2024/9/29,191,22,53,152,105
2024/9/30,231,35,72,190,87
2024/10/1,244,33,93,161,87
2024/10/2,448,43,103,215,94
2024/10/3,202,31,91,114,91
2024/10/4,343,30,110,140,133
2024/10/5,241,19,81,255,156
2024/10/6,372,22,88,240,128
2024/10/7,435,32,131,161,114
2024/10/8,206,29,57,170,113
2024/10/9,133,12,71,230,95
2024/10/10,235,22,90,185,64
2024/10/11,431,43,94,180,88
2024/10/12,424,43,167,209,89
2024/10/13,466,31,141,244,104
2024/10/14,427,43,105,189,91
2024/10/15,305,28,89,193,112
2024/10/16,190,23,80,134,81
